Job Titles,AI Impact,Tasks,Task Type,AI Models,Model Sophistication,AI Workload Ratio,Domain
Dean,0.1,903,Routine,3756,Intermediate,0.240415335,General
Gardener,0.1,229,Routine,911,Basic,0.251372119,General
Business Leader,0.1,1080,Routine,4260,Intermediate,0.253521127,General
Peer Mentor,0.1,647,Routine,3001,Intermediate,0.215594802,General
Artistic Director,0.1,1125,Complex,5016,Intermediate,0.224282297,Management & Administration
Design Director,0.1,1076,Complex,4738,Intermediate,0.227100042,Management & Administration
Sailing Instructor,0.1,361,Routine,1629,Intermediate,0.221608349,Education
Personal Care Worker,0.1,260,Routine,929,Basic,0.279870829,General
Academic Director,0.1,939,Complex,3837,Intermediate,0.244722439,Management & Administration
Chief Technology Officer,0.1,1097,Routine,4185,Intermediate,0.262126643,General
Food Handler,0.1,347,Routine,1160,Basic,0.299137931,General
Plant Manager,0.1,522,Complex,2157,Intermediate,0.242002782,Management & Administration
Power Plant Operator,0.1,290,Routine,1281,Basic,0.226385636,General
Project Engineering Manager,0.1,685,Complex,2876,Intermediate,0.238178025,Engineering & Technology
Reactor Operator,0.1,216,Routine,1120,Basic,0.192857143,General
Vp Of Engineering,0.1,1090,Complex,4331,Intermediate,0.251673978,Engineering & Technology
Wastewater Treatment Operator,0.1,333,Routine,1509,Intermediate,0.220675944,General
Water Treatment Plant Operator,0.1,330,Routine,1512,Intermediate,0.218253968,General
Manager Trainee,0.1,1040,Complex,4010,Intermediate,0.259351621,Management & Administration
Office,0.1,714,Routine,3367,Intermediate,0.212058212,General
Office Worker,0.1,750,Routine,3441,Intermediate,0.217959895,General
Summer Associate,0.1,501,Routine,2296,Intermediate,0.218205575,General
Air Traffic Controller,0.1,372,Routine,1553,Intermediate,0.239536381,General
Bus Monitor,0.1,439,Routine,1774,Intermediate,0.24746336,General
Fleet Administrator,0.1,805,Routine,3168,Intermediate,0.254103535,General
Fleet Manager,0.1,802,Complex,3163,Intermediate,0.25355675,Management & Administration
Flight Attendant,0.1,409,Routine,1541,Intermediate,0.26541207,General
Ordinary Seaman,0.1,193,Routine,998,Basic,0.193386774,General
Passenger Service Agent,0.1,382,Routine,1900,Intermediate,0.201052632,General
Ramp Agent,0.1,313,Routine,1451,Basic,0.215713301,General
Steward,0.1,374,Routine,1839,Intermediate,0.203371397,General
Terminal Manager,0.1,806,Complex,3428,Intermediate,0.23512252,Management & Administration
Toll Collector,0.1,214,Routine,1074,Basic,0.199255121,General
Beach Attendant,0.1,448,Routine,1577,Intermediate,0.284083703,General
Bellhop,0.1,447,Routine,1642,Intermediate,0.272228989,General
Bellman,0.1,447,Routine,1642,Intermediate,0.272228989,General
Busboy,0.1,411,Routine,1533,Intermediate,0.268101761,General
Busser,0.1,421,Routine,1614,Intermediate,0.260842627,General
Concierge,0.1,961,Routine,4145,Intermediate,0.231845597,General
Dietary Aide,0.1,749,Routine,3220,Intermediate,0.232608696,General
Doorman,0.1,443,Routine,1559,Intermediate,0.284156511,General
Hospice Chaplain,0.1,371,Routine,1476,Basic,0.251355014,General
Pharmaceutical,0.1,596,Routine,2579,Intermediate,0.231097325,General
Activist,0.1,887,Routine,3578,Intermediate,0.247903857,General
Community Worker,0.1,984,Routine,4335,Intermediate,0.226989619,General
Federal Contractor,0.1,756,Routine,2784,Intermediate,0.271551724,General
Government Contractor,0.1,722,Routine,2689,Intermediate,0.268501302,General
Assistant Athletic Director,0.1,935,Complex,3701,Intermediate,0.252634423,Management & Administration
Assistant Basketball Coach,0.1,946,Routine,3606,Intermediate,0.262340544,General
Assistant Coach,0.1,945,Routine,3613,Intermediate,0.261555494,General
Assistant Football Coach,0.1,933,Routine,3585,Intermediate,0.260251046,General
Assistant Soccer Coach,0.1,933,Routine,3562,Intermediate,0.261931499,General
Diver,0.1,240,Routine,839,Basic,0.286054827,General
Gym,0.1,343,Routine,1235,Basic,0.277732794,General
Licensed Massage Therapist,0.1,348,Routine,1266,Basic,0.274881517,General
Massage Therapist,0.1,357,Routine,1459,Basic,0.244688143,General
Performer,0.1,874,Routine,3842,Intermediate,0.227485685,General
Public Address Announcer,0.1,1082,Routine,4469,Intermediate,0.242112329,General
Radio,0.1,961,Routine,4258,Intermediate,0.225692814,General
Speaker,0.1,1128,Routine,4578,Intermediate,0.246395806,General
Central Office Technician,0.1,615,Routine,2578,Intermediate,0.238557021,Engineering & Technology
Physician Liaison,0.1,536,Routine,2357,Intermediate,0.227407722,General
Primary Care Physician,0.1,450,Routine,1872,Intermediate,0.240384615,General
Psychiatrist,0.1,499,Routine,2304,Intermediate,0.216579861,General
Psychologist,0.1,520,Routine,2350,Intermediate,0.221276596,General
Psychotherapist,0.1,531,Routine,2391,Intermediate,0.222082811,General
Rheumatologist,0.1,392,Routine,1663,Intermediate,0.235718581,General
Speech Language Pathology Assistant,0.1,799,Routine,3313,Intermediate,0.241171144,General
Speech Pathologist,0.1,803,Routine,3327,Intermediate,0.241358581,General
Speech Pathology Assistant,0.1,794,Routine,3300,Intermediate,0.240606061,General
Crematory Operator,0.1,169,Routine,618,Basic,0.273462783,General
Deckhand,0.1,199,Routine,635,Basic,0.313385827,General
Heavy Construction,0.1,217,Routine,701,Basic,0.309557775,General
Independent Adjuster,0.1,528,Routine,1963,Intermediate,0.268976057,General
Laborer,0.1,201,Routine,615,Basic,0.326829268,General
Landscape Laborer,0.1,224,Routine,706,Basic,0.317280453,General
Laundry Aide,0.1,240,Routine,790,Basic,0.303797468,General
Loader Operator,0.1,206,Routine,717,Basic,0.287308229,General
Locksmith,0.1,246,Routine,844,Basic,0.291469194,General
Logger,0.1,188,Routine,626,Basic,0.300319489,General
Lumberjack,0.1,191,Routine,607,Basic,0.314662273,General
Mason,0.1,233,Routine,826,Basic,0.282082324,General
Master Electrician,0.1,250,Routine,959,Basic,0.260688217,General
Master Plumber,0.1,239,Routine,901,Basic,0.265260821,General
Mechanic Helper,0.1,247,Routine,908,Basic,0.272026432,General
Merchant Marine,0.1,212,Routine,638,Basic,0.332288401,General
Miner,0.1,207,Routine,653,Basic,0.316998469,General
Mover Helper,0.1,246,Routine,752,Basic,0.32712766,General
Plumber Helper,0.1,185,Routine,855,Basic,0.216374269,General
Rigger,0.1,176,Routine,867,Basic,0.202998847,General
Spotter,0.1,241,Routine,910,Basic,0.264835165,General
Tankerman,0.1,225,Routine,951,Basic,0.23659306,General
Teamster,0.1,322,Routine,1482,Basic,0.217273954,General
Zamboni Driver,0.1,172,Routine,778,Basic,0.221079692,General
Associate Pastor,0.1,679,Routine,2966,Intermediate,0.228927849,General
Camp Counselor,0.1,947,Routine,3687,Intermediate,0.256848386,General
Coach,0.1,946,Routine,3620,Intermediate,0.261325967,General
Mentor,0.1,823,Routine,3619,Intermediate,0.227410887,General
Travel Consultant,0.1,1072,Complex,4402,Intermediate,0.24352567,Business & Consulting
Wedding Coordinator,0.1,1006,Routine,4282,Intermediate,0.234936945,General
Client Associate,0.1,1170,Routine,4634,Intermediate,0.252481657,General
Client Service Associate,0.1,1172,Routine,4636,Intermediate,0.252804142,General
Customer Service Associate,0.1,1165,Routine,4624,Basic,0.251946367,Customer Service
Customer Service Operator,0.1,1148,Routine,4585,Basic,0.250381679,Customer Service
Customer Service Receptionist,0.1,1150,Routine,4582,Basic,0.250982104,Customer Service
Customer Service Specialist,0.1,1156,Routine,4590,Basic,0.251851852,Customer Service
Pbx Operator,0.1,741,Routine,3424,Intermediate,0.216413551,General
Phone Operator,0.1,729,Routine,3435,Intermediate,0.212227074,General
Service Representative,0.1,752,Routine,3392,Intermediate,0.221698113,General
Telephone Operator,0.1,724,Routine,3324,Intermediate,0.217809868,General
Ambassador,0.1,782,Routine,3079,Intermediate,0.253978564,General
Brand Ambassador,0.1,1202,Routine,5091,Intermediate,0.236102927,General
Brand Representative,0.1,1194,Routine,5005,Intermediate,0.238561439,General
Marketing Representative,0.1,1251,Routine,5064,Intermediate,0.247037915,Sales & Marketing
Key Holder,0.1,592,Routine,2335,Intermediate,0.253533191,General
Wholesaler,0.1,917,Routine,3683,Intermediate,0.248981808,General
Aerial Lineman,0.1,388,Routine,1594,Intermediate,0.243412798,General
Architect,0.1,988,Routine,3931,Intermediate,0.251335538,General
Brick Mason,0.1,229,Routine,1056,Basic,0.216856061,General
Builder,0.1,267,Routine,1206,Basic,0.221393035,General
Building Inspector,0.1,353,Routine,1510,Intermediate,0.233774834,General
Concrete Finisher,0.1,206,Routine,975,Basic,0.211282051,General
Crane Operator,0.1,217,Routine,1015,Basic,0.213793103,General
Directional Driller,0.1,237,Routine,1036,Basic,0.228764479,General
Excavator,0.1,222,Routine,1034,Basic,0.214700193,General
Field Worker,0.1,209,Routine,716,Basic,0.291899441,General
Flagger,0.1,214,Routine,683,Basic,0.313323572,General
Claims Clerk,0.1,903,Routine,3798,Basic,0.237756714,Administrative
Academic Tutor,0.1,897,Routine,3887,Intermediate,0.230769231,Education
Wic Nutritionist,0.11,469,Routine,2141,Intermediate,0.219056516,General
Aircraft Cleaner,0.11,185,Routine,826,Basic,0.223970944,General
Auto Appraiser,0.11,341,Routine,1596,Intermediate,0.213659148,General
Lifeguard,0.12,265,Routine,1038,Basic,0.255298651,General
Mental Health Worker,0.12,596,Routine,2250,Intermediate,0.264888889,General
Neonatologist,0.12,404,Routine,1453,Basic,0.278045423,General
Nephrologist,0.12,393,Routine,1431,Basic,0.274633124,General
Neurologist,0.12,423,Routine,1494,Basic,0.28313253,General
Neuropsychologist,0.12,443,Routine,1739,Intermediate,0.254744106,General
Neurosurgeon,0.12,393,Routine,1425,Basic,0.275789474,General
Ob Gyn,0.12,410,Routine,1462,Basic,0.280437756,General
Obstetrician,0.12,412,Routine,1462,Basic,0.281805746,General
Occupational Medicine Physician,0.12,411,Routine,1457,Basic,0.282086479,General
Oncologist,0.12,416,Routine,1455,Basic,0.285910653,General
Ophthalmologist,0.12,389,Routine,1468,Basic,0.264986376,General
Oral Surgeon,0.12,378,Routine,1405,Basic,0.269039146,General
Orthodontist,0.12,377,Routine,1416,Basic,0.266242938,General
Orthopaedic Surgeon,0.12,391,Routine,1430,Basic,0.273426573,General
Orthopedic Nurse Practitioner,0.12,438,Routine,1543,Intermediate,0.283862605,Healthcare
Orthopedic Surgeon,0.12,393,Routine,1427,Basic,0.275402943,General
Outpatient Therapist,0.12,540,Routine,2059,Intermediate,0.262263235,General
Pathologist,0.12,422,Routine,1559,Intermediate,0.270686337,General
Pediatric Cardiologist,0.12,412,Routine,1477,Basic,0.278943805,General
Pediatric Dentist,0.12,397,Routine,1444,Basic,0.274930748,General
Pediatric Hospitalist,0.12,454,Routine,1551,Intermediate,0.292714378,General
Pediatrician,0.12,451,Routine,1529,Intermediate,0.294964029,General
Periodontist,0.12,375,Routine,1397,Basic,0.268432355,General
Physician,0.12,540,Routine,2130,Intermediate,0.253521127,General
Physician Assistant,0.12,540,Routine,2123,Intermediate,0.254357042,General
Plastic Surgeon,0.12,365,Routine,1391,Basic,0.26240115,General
Podiatrist,0.12,363,Routine,1357,Basic,0.267501842,General
Prosthetist,0.12,324,Routine,1396,Basic,0.232091691,General
Prosthodontist,0.12,388,Routine,1744,Intermediate,0.222477064,General
Public Health Dentist,0.12,455,Routine,1942,Intermediate,0.234294542,General
Registered Dietitian,0.12,491,Routine,2022,Intermediate,0.242828882,General
Renal Dietitian,0.12,487,Routine,2005,Intermediate,0.242892768,General
Retail Pharmacist,0.12,555,Routine,2198,Intermediate,0.252502275,General
Sports Medicine Physician,0.12,480,Routine,1983,Intermediate,0.242057489,General
Staff Pharmacist,0.12,549,Routine,2329,Intermediate,0.235723486,General
Surgeon,0.12,415,Routine,1711,Intermediate,0.242548217,General
Trauma Surgeon,0.12,417,Routine,1706,Intermediate,0.244431419,General
Urologist,0.12,420,Routine,1618,Intermediate,0.259579728,General
Vascular Surgeon,0.12,427,Routine,1737,Intermediate,0.245826137,General
Breakfast Attendant,0.13,271,Routine,1062,Basic,0.255178908,General
Cart Attendant,0.13,270,Routine,1124,Basic,0.240213523,General
Golf Cart Attendant,0.13,374,Routine,1625,Intermediate,0.230153846,General
Barista,0.14,329,Routine,1429,Basic,0.230230931,General
Bartender,0.14,343,Routine,1462,Basic,0.234610123,General
Tree Climber,0.15,474,Routine,1836,Intermediate,0.258169935,General
Tree Trimmer,0.15,476,Routine,1917,Intermediate,0.248304643,General
Utility Operator,0.15,531,Routine,2160,Intermediate,0.245833333,General
Welder Apprentice,0.15,516,Routine,2106,Intermediate,0.245014245,General
Welder Helper,0.15,518,Routine,2109,Intermediate,0.245614035,General
Coating Inspector,0.15,464,Routine,1732,Intermediate,0.267898383,General
Fabricator,0.15,246,Routine,1018,Basic,0.241650295,General
Freight Handler,0.15,210,Routine,998,Basic,0.210420842,General
Industrial Cleaner,0.15,181,Routine,865,Basic,0.209248555,General
Parts Clerk,0.15,592,Routine,2344,Basic,0.252559727,Administrative
Product Tester,0.15,782,Routine,3424,Intermediate,0.22838785,General
Production Manager,0.15,927,Complex,3806,Intermediate,0.243562796,Management & Administration
Production Supervisor,0.15,913,Routine,3764,Intermediate,0.242561105,General
Shift Leader,0.15,996,Routine,3933,Intermediate,0.2532418,General
Tool And Die Maker,0.15,503,Routine,2128,Intermediate,0.23637218,General
Platform Engineer,0.15,926,Complex,3846,Intermediate,0.240769631,Engineering & Technology
Process Technician,0.15,744,Routine,3051,Intermediate,0.243854474,Engineering & Technology
Release Engineer,0.15,1179,Complex,4468,Intermediate,0.263876455,Engineering & Technology
Software Development Manager,0.15,1238,Complex,4840,Intermediate,0.255785124,Management & Administration
Software Engineering Manager,0.15,1235,Complex,4837,Intermediate,0.255323548,Engineering & Technology
Staff Engineer,0.15,1162,Complex,4576,Intermediate,0.253933566,Engineering & Technology
Director Of Sustainability,0.15,834,Complex,3231,Intermediate,0.25812442,Management & Administration
Health Policy Analyst,0.15,858,Complex,3197,Intermediate,0.268376603,Business & Consulting
Psychometrician,0.15,729,Routine,2848,Intermediate,0.255969101,General
Sustainability Consultant,0.15,925,Complex,3786,Intermediate,0.244321183,Business & Consulting
Sustainability Coordinator,0.15,922,Routine,3790,Intermediate,0.243271768,General
Instructional Designer,0.15,1387,Routine,5666,Intermediate,0.244793505,General
Junior Graphic Designer,0.15,1217,Routine,5123,Intermediate,0.237556119,General
Activities Coordinator,0.15,1085,Routine,4318,Intermediate,0.251273738,General
Career Specialist,0.15,1074,Complex,4405,Intermediate,0.243813848,General
Chief Human Resources Officer,0.15,916,Routine,3721,Intermediate,0.246170384,General
Construction Supervisor,0.15,847,Routine,3358,Intermediate,0.252233472,General
Corporate Travel Consultant,0.15,1077,Complex,4443,Intermediate,0.242403781,Business & Consulting
Hr Consultant,0.15,1071,Complex,4272,Intermediate,0.250702247,Business & Consulting
Hr Recruiter,0.15,1072,Routine,4257,Intermediate,0.251820531,General
Human Resource Consultant,0.15,1058,Complex,4200,Intermediate,0.251904762,Business & Consulting
Human Resources Associate,0.15,1049,Routine,4152,Intermediate,0.252649326,General
Human Resources Recruiter,0.15,1070,Routine,4234,Intermediate,0.252716108,General
Labor Relations Specialist,0.15,871,Complex,3744,Intermediate,0.232638889,General
Nurse Recruiter,0.15,942,Routine,4011,Intermediate,0.234854151,Healthcare
Attorney,0.15,800,Routine,3198,Intermediate,0.250156348,General
Attorney General,0.15,774,Routine,3080,Intermediate,0.251298701,General
Judicial Law Clerk,0.15,698,Routine,2908,Basic,0.24002751,Administrative
Law Clerk,0.15,650,Routine,2816,Basic,0.230823864,Administrative
Law Librarian,0.15,672,Routine,3040,Intermediate,0.221052632,General
Lawyer,0.15,764,Routine,3329,Intermediate,0.229498348,Legal Services
Negotiator,0.15,876,Routine,3713,Intermediate,0.235927821,General
Horse Trainer,0.15,230,Routine,885,Basic,0.259887006,General
Kennel Assistant,0.15,222,Routine,937,Basic,0.236926361,General
Kennel Attendant,0.15,222,Routine,931,Basic,0.238453276,General
Kennel Technician,0.15,220,Routine,929,Basic,0.236813778,Engineering & Technology
Veterinary Pathologist,0.15,511,Routine,2048,Intermediate,0.249511719,General
Party Chief,0.15,565,Routine,2335,Intermediate,0.241970021,General
Sushi Chef,0.15,453,Routine,2032,Intermediate,0.222933071,General
Barber,0.15,310,Routine,1258,Basic,0.246422893,General
Care Taker,0.15,465,Routine,1741,Intermediate,0.267087881,General
Caretaker,0.15,464,Routine,1829,Intermediate,0.253690541,General
Home Attendant,0.15,401,Routine,1604,Intermediate,0.25,General
Home Care Provider,0.15,409,Routine,1607,Intermediate,0.254511512,General
Home Caregiver,0.15,414,Routine,1640,Intermediate,0.252439024,General
Personal Caregiver,0.15,523,Routine,2011,Intermediate,0.260069617,General
Private Caregiver,0.15,523,Routine,2172,Intermediate,0.240791897,General
Senior Caregiver,0.15,640,Routine,2521,Intermediate,0.253867513,General
Detention Officer,0.15,519,Routine,1946,Intermediate,0.266700925,General
Firearms Instructor,0.15,349,Routine,1315,Basic,0.26539924,Education
Guard,0.15,326,Routine,1280,Basic,0.2546875,General
Immigration Officer,0.15,546,Routine,1897,Intermediate,0.287822878,General
Juvenile Detention Officer,0.15,502,Routine,1928,Intermediate,0.260373444,General
Military Officer,0.15,572,Routine,2344,Intermediate,0.244027304,General
Patrol Officer,0.15,565,Routine,2259,Intermediate,0.250110668,General
Police Cadet,0.15,537,Routine,2063,Intermediate,0.260300533,General
Police Lieutenant,0.15,558,Routine,2265,Intermediate,0.246357616,General
Police Sergeant,0.15,561,Routine,2281,Intermediate,0.245944761,General
Probation Officer,0.15,661,Routine,2682,Intermediate,0.246457867,General
Public Safety Officer,0.15,817,Routine,3365,Intermediate,0.242793462,General
Cyber Security,0.15,813,Routine,3139,Intermediate,0.258999681,General
Devops,0.15,897,Routine,3315,Intermediate,0.270588235,General
Field Technician,0.15,794,Routine,2906,Intermediate,0.273227805,Engineering & Technology
Information Security,0.15,1139,Routine,4371,Intermediate,0.260581103,General
Information Technology,0.15,1204,Routine,4579,Intermediate,0.262939506,General
Infrastructure Manager,0.15,1175,Complex,4387,Intermediate,0.267836791,Management & Administration
It Operations Manager,0.15,1208,Complex,4479,Intermediate,0.269703059,Management & Administration
It Program Manager,0.15,1221,Complex,4501,Intermediate,0.27127305,Management & Administration
Monitor Technician,0.15,756,Routine,3115,Intermediate,0.242696629,Engineering & Technology
Network Operations Manager,0.15,1053,Complex,4388,Intermediate,0.239972653,Management & Administration
Senior Program Manager,0.15,1213,Complex,5052,Intermediate,0.24010293,Management & Administration
Systems Manager,0.15,1216,Complex,4975,Intermediate,0.244422111,Management & Administration
Technical Lead,0.15,1259,Routine,4828,Intermediate,0.260770505,General
Addiction Counselor,0.15,800,Routine,3204,Intermediate,0.24968789,General
Behavior Analyst,0.15,811,Complex,3056,Intermediate,0.265379581,Business & Consulting
Behavioral Therapist,0.15,786,Routine,2995,Intermediate,0.262437396,General
Chemical Dependency Counselor,0.15,771,Routine,2991,Intermediate,0.25777332,General
Counseling Psychologist,0.15,739,Routine,2892,Intermediate,0.255532503,General
Developmental Psychologist,0.15,722,Routine,2886,Intermediate,0.25017325,General
Licensed Professional Counselor,0.15,655,Routine,2892,Intermediate,0.22648686,General
Rehabilitation Counselor,0.15,783,Routine,3133,Intermediate,0.249920204,General
Vocational Rehabilitation Counselor,0.15,746,Routine,2931,Intermediate,0.254520641,General
Commercial Real Estate Broker,0.15,938,Routine,3670,Intermediate,0.255585831,General
Housing Coordinator,0.15,673,Routine,2555,Intermediate,0.263405088,General
Lease Operator,0.15,517,Routine,1986,Intermediate,0.260322256,General
Real Estate Administrative Assistant,0.15,1076,Routine,4249,Intermediate,0.253236056,General
Real Estate Agent,0.15,1093,Routine,4314,Intermediate,0.25336115,General
Real Estate Appraiser,0.15,1014,Routine,4121,Intermediate,0.246056782,General
Real Estate Assistant,0.15,1056,Routine,4199,Intermediate,0.25148845,General
Real Estate Associate,0.15,1058,Routine,4199,Intermediate,0.251964754,General
Real Estate Broker,0.15,1071,Routine,4256,Intermediate,0.251644737,General
Residential Property Manager,0.15,1054,Complex,4175,Intermediate,0.25245509,Management & Administration
Archaeologist,0.15,698,Routine,2793,Intermediate,0.249910491,General
Clinical Associate,0.15,741,Routine,2848,Intermediate,0.260182584,General
Energy Consultant,0.15,889,Complex,3298,Intermediate,0.269557307,Business & Consulting
Gemologist,0.15,286,Routine,1183,Basic,0.241758242,General
Geologist,0.15,400,Routine,1534,Intermediate,0.260756193,General
Library Aide,0.15,632,Routine,2846,Intermediate,0.222066058,General
Medical Engineer,0.15,666,Complex,3053,Intermediate,0.218146086,Engineering & Technology
Medical Scientist,0.15,710,Routine,3157,Intermediate,0.224897054,General
Physical Scientist,0.15,537,Routine,2543,Intermediate,0.211167912,General
Radiation Safety Officer,0.15,649,Routine,2822,Intermediate,0.229978738,General
Research Scientist,0.15,849,Routine,3400,Intermediate,0.249705882,General
Wildlife Biologist,0.15,531,Routine,2245,Intermediate,0.236525612,General
Assessor,0.15,822,Routine,3326,Intermediate,0.247143716,General
Asset Management Analyst,0.15,885,Complex,3693,Intermediate,0.239642567,Business & Consulting
Bank Examiner,0.15,817,Routine,3332,Intermediate,0.245198079,General
Banking Consultant,0.15,911,Complex,3899,Intermediate,0.233649654,Business & Consulting
Controller,0.15,839,Routine,3328,Intermediate,0.252103365,General
Corporate Controller,0.15,848,Routine,3330,Intermediate,0.254654655,General
Finance Controller,0.15,983,Routine,3620,Intermediate,0.271546961,General
Financial Advisor,0.15,990,Routine,3837,Intermediate,0.258014073,General
Financial Advisor Trainee,0.15,956,Routine,3721,Intermediate,0.256920183,General
Financial Controller,0.15,975,Routine,3604,Intermediate,0.270532741,General
Financial Manager,0.15,962,Complex,3573,Intermediate,0.269241534,Management & Administration
In House Counsel,0.15,698,Routine,2743,Intermediate,0.254465913,General
Investment Manager,0.15,839,Complex,3274,Intermediate,0.256261454,Management & Administration
Lending Manager,0.15,1016,Complex,4131,Intermediate,0.245945292,Management & Administration
Loan Consultant,0.15,1034,Complex,4224,Intermediate,0.244791667,Business & Consulting
Loan Officer Assistant,0.15,1021,Routine,4171,Intermediate,0.244785423,General
Mortgage Advisor,0.15,1001,Routine,3967,Intermediate,0.252331737,General
Mortgage Specialist,0.15,977,Complex,3902,Intermediate,0.250384418,General
Personal Financial Advisor,0.15,1035,Routine,4230,Intermediate,0.244680851,General
Premium Auditor,0.15,726,Routine,3031,Intermediate,0.239524909,General
Reimbursement Specialist,0.15,899,Complex,3586,Intermediate,0.250697156,General
Senior Auditor,0.15,1031,Routine,4047,Intermediate,0.25475661,General
Senior Tax Accountant,0.15,1032,Routine,4050,Intermediate,0.254814815,General
Senior Treasury Analyst,0.15,1052,Complex,4104,Intermediate,0.256335283,Business & Consulting
Case Aide,0.15,824,Routine,3508,Intermediate,0.234891676,General
Supervisor,0.15,1202,Routine,4507,Intermediate,0.26669625,General
Contract Analyst,0.15,862,Complex,3657,Intermediate,0.235712333,Business & Consulting
Executive Manager,0.15,995,Complex,3985,Intermediate,0.249686324,Management & Administration
Front Desk Manager,0.15,841,Complex,3660,Intermediate,0.229781421,Management & Administration
Global Account Manager,0.15,978,Complex,3921,Intermediate,0.249426167,Management & Administration
Manager,0.15,1316,Complex,5181,Intermediate,0.254005018,Management & Administration
Market Manager,0.15,1234,Complex,4926,Intermediate,0.250507511,Management & Administration
Patient Access Manager,0.15,1101,Complex,4517,Intermediate,0.243745849,Management & Administration
Regional Director,0.15,1182,Complex,4385,Intermediate,0.269555302,Management & Administration
Senior Manager,0.15,1174,Complex,4360,Intermediate,0.269266055,Management & Administration
Vice President Of Finance,0.15,1138,Routine,4326,Intermediate,0.263060564,General
Vice President Of Operations,0.15,1147,Routine,4347,Intermediate,0.263860133,General
Vp Of Finance,0.15,1118,Routine,4251,Intermediate,0.262996942,General
Demonstrator,0.15,845,Routine,3937,Intermediate,0.214630429,General
Sales Lead,0.15,1154,Routine,4417,Intermediate,0.261263301,Sales & Marketing
Sales Team Leader,0.15,1157,Routine,4511,Intermediate,0.25648415,Sales & Marketing
Salesperson,0.15,1104,Routine,4519,Intermediate,0.244301837,Sales & Marketing
Technical Account Manager,0.15,1181,Complex,4640,Intermediate,0.254525862,Management & Administration
Territory Account Manager,0.15,1156,Complex,4579,Intermediate,0.252456868,Management & Administration
Territory Sales Manager,0.15,1154,Routine,4575,Intermediate,0.252240437,Management & Administration
Wholesale Account Executive,0.15,1080,Routine,4211,Intermediate,0.256471147,General
Mds Coordinator,0.15,827,Routine,3235,Intermediate,0.255641422,General
Public Health Nurse,0.15,740,Routine,2968,Intermediate,0.249326146,Healthcare
Utilization Review Nurse,0.15,768,Routine,3134,Intermediate,0.245054244,Healthcare
Bilingual,0.15,848,Routine,3512,Intermediate,0.241457859,General
Optical Manager,0.15,633,Complex,2799,Intermediate,0.226152197,Management & Administration
Recreation Aide,0.15,609,Routine,2418,Intermediate,0.251861042,General
Architectural Engineer,0.15,736,Complex,3015,Intermediate,0.244112769,Engineering & Technology
Clinical Engineer,0.15,653,Complex,2764,Intermediate,0.236251809,Engineering & Technology
Commissioning Engineer,0.15,658,Complex,2529,Intermediate,0.26018189,Engineering & Technology
Electrical Apprentice,0.15,577,Routine,2073,Intermediate,0.278340569,General
Electromechanical Technician,0.15,718,Routine,2526,Intermediate,0.284243864,Engineering & Technology
Energy Manager,0.15,891,Complex,3222,Intermediate,0.276536313,Management & Administration
Engineer,0.15,814,Complex,3007,Intermediate,0.270701696,Engineering & Technology
Flight Test Engineer,0.15,704,Complex,2536,Intermediate,0.277602524,Engineering & Technology
General Engineer,0.15,790,Complex,2828,Intermediate,0.279349364,Engineering & Technology
Hardware Technician,0.15,785,Routine,2771,Intermediate,0.283291231,Engineering & Technology
Instrument Engineer,0.15,773,Complex,2730,Intermediate,0.283150183,Engineering & Technology
Academic Advisor,0.15,905,Routine,3602,Intermediate,0.251249306,General
Academic Counselor,0.15,885,Routine,3544,Intermediate,0.249717833,General
Admissions Counselor,0.15,885,Routine,3554,Intermediate,0.249015194,General
Agriculture Teacher,0.15,682,Complex,2797,Intermediate,0.243832678,Education
Assistant Principal,0.15,815,Routine,3341,Intermediate,0.24393894,General
Assistant Superintendent,0.15,775,Routine,3221,Intermediate,0.240608507,General
Bilingual Teacher,0.15,828,Complex,3274,Intermediate,0.252901649,Education
Business Education Teacher,0.15,769,Complex,3071,Intermediate,0.250407034,Education
Curator,0.15,957,Routine,3964,Intermediate,0.241422805,General
Director Of Special Education,0.15,777,Complex,2715,Intermediate,0.286187845,Management & Administration
Education Administrator,0.15,838,Routine,3498,Intermediate,0.239565466,General
Education Coordinator,0.15,848,Routine,3590,Intermediate,0.236211699,General
Elementary School Principal,0.15,678,Routine,2750,Intermediate,0.246545455,General
Foreign Language Teacher,0.15,566,Complex,2110,Intermediate,0.268246445,Education
Guitar Teacher,0.15,511,Complex,1879,Intermediate,0.271953167,Education
Learning Consultant,0.15,1004,Complex,4190,Intermediate,0.239618138,Business & Consulting
Nursing Faculty,0.15,716,Routine,2814,Intermediate,0.254442075,General
Nursing Instructor,0.15,710,Routine,2811,Intermediate,0.252579153,Education
Residence Hall Director,0.15,975,Complex,3743,Intermediate,0.260486241,Management & Administration
Special Needs Teacher,0.15,940,Complex,3542,Intermediate,0.265386787,Education
Teacher,0.15,1083,Complex,4106,Intermediate,0.263760351,Education
Technology Teacher,0.15,1133,Complex,4256,Intermediate,0.266212406,Education
University President,0.15,1100,Routine,4081,Intermediate,0.269541779,General
Entertainer,0.15,718,Routine,2842,Intermediate,0.252638987,General
Fashion Designer,0.15,907,Routine,3977,Intermediate,0.228061353,General
Floral Assistant,0.15,437,Routine,1943,Intermediate,0.224909933,General
Junior Art Director,0.15,1120,Complex,4809,Intermediate,0.232896652,Management & Administration
Producer,0.15,1186,Routine,4984,Intermediate,0.237961477,General
