Job Titles,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Retail Assistant,0.20,220,1135,0.193832599,Law Enforcement
Retail Associate,0.20,221,1178,0.187606112,Construction
Retail Clerk,0.20,221,1139,0.194029851,Sales & Marketing
Retail Operations Manager,0.20,260,1896,0.137130802,Hospitality
Retail Supervisor,0.20,241,1727,0.13954835,Communication & PR
Sales Assistant,0.20,266,1721,0.154561302,Data & IT
Store Assistant,0.20,210,1097,0.191431176,Administrative & Clerical
Store Associate,0.20,208,1094,0.190127971,Leadership & Strategy
Store Clerk,0.20,208,1094,0.190127971,Medical & Healthcare
Store Supervisor,0.20,221,1317,0.167805619,Supply Chain & Logistics
Vendor Manager,0.20,209,1480,0.141216216,Law Enforcement
Construction Apprentice,0.20,5,40,0.125,Construction
Construction Laborer,0.20,5,40,0.125,Sales & Marketing
Construction Project Coordinator,0.20,6,46,0.130434783,Hospitality
Construction Project Manager,0.20,6,46,0.130434783,Communication & PR
Construction Worker,0.20,5,40,0.125,Data & IT
Drywall Finisher,0.20,39,433,0.090069284,Administrative & Clerical
Field Operator,0.20,114,887,0.128523112,Leadership & Strategy
Framer,0.20,41,439,0.093394077,Medical & Healthcare
Installation Technician,0.20,163,987,0.16514691,Supply Chain & Logistics
Lineman,0.20,100,612,0.163398693,Law Enforcement
Lineman Apprentice,0.20,98,609,0.16091954,Construction
Pipe Welder,0.20,102,1051,0.097050428,Sales & Marketing
Plant Worker,0.20,109,1164,0.093642612,Hospitality
Claim Adjuster,0.20,7,46,0.152173913,Communication & PR
Claims Assistant,0.20,7,46,0.152173913,Data & IT
Claims Processor,0.20,7,46,0.152173913,Administrative & Clerical
Health Insurance Agent,0.20,256,1544,0.165803109,Leadership & Strategy
Health Insurance Specialist,0.20,269,1663,0.161755863,Medical & Healthcare
Insurance Agent,0.20,211,1490,0.141610738,Supply Chain & Logistics
Insurance Assistant,0.20,207,1473,0.140529532,Law Enforcement
Neurodiagnostic Technologist,0.20,147,969,0.151702786,Construction
Nuclear Pharmacist,0.20,143,939,0.15228967,Sales & Marketing
Nutritionist,0.20,147,980,0.15,Hospitality
Occupational Therapy Aide,0.20,146,957,0.152560084,Communication & PR
Occupational Therapy Assistant,0.20,152,992,0.153225806,Data & IT
Oncology Pharmacist,0.20,150,946,0.158562368,Administrative & Clerical
Ophthalmic Assistant,0.20,165,961,0.17169615,Leadership & Strategy
Ophthalmic Technician,0.20,171,1364,0.125366569,Medical & Healthcare
Optometric Assistant,0.20,160,955,0.167539267,Supply Chain & Logistics
Optometrist Assistant,0.20,146,898,0.162583519,Law Enforcement
Orderly,0.20,103,731,0.140902873,Construction
Pacu Rn,0.20,146,893,0.163493841,Sales & Marketing
Paramedic,0.20,109,714,0.152661064,Hospitality
Patient Care Manager,0.20,183,1082,0.169131238,Communication & PR
Patient Care Technician,0.20,177,1150,0.153913043,Data & IT
Patient Navigator,0.20,195,1133,0.172109444,Administrative & Clerical
Patient Sitter,0.20,97,648,0.149691358,Leadership & Strategy
Patient Transport,0.20,128,819,0.156288156,Medical & Healthcare
Patient Transporter,0.20,129,819,0.157509158,Supply Chain & Logistics
Pediatric Physician Assistant,0.20,154,922,0.1670282,Law Enforcement
Personal Care Attendant,0.20,130,935,0.139037433,Construction
Pharmaceutical Sales,0.20,206,1185,0.173839662,Sales & Marketing
Pharmacist,0.20,133,1367,0.097293343,Hospitality
Psychiatric Aide,0.20,121,1365,0.088644689,Communication & PR
Psychiatric Technician,0.20,124,1368,0.090643275,Data & IT
Registered Behavior Technician,0.20,126,1099,0.114649682,Administrative & Clerical
Registered Respiratory Therapist,0.20,125,1063,0.117591722,Leadership & Strategy
Rehab Technician,0.20,116,962,0.120582121,Medical & Healthcare
Respiratory Care Practitioner,0.20,98,774,0.126614987,Supply Chain & Logistics
Respiratory Therapist,0.20,100,623,0.160513644,Law Enforcement
Speech Pathologist Assistant,0.20,106,709,0.149506347,Construction
Technologist,0.20,141,1182,0.11928934,Sales & Marketing
Travel Cna,0.20,141,1241,0.11361805,Hospitality
Veterinary Technician,0.20,141,1168,0.120719178,Communication & PR
Control Room Operator,0.20,5,40,0.125,Data & IT
Electric Lineman,0.20,69,671,0.102831595,Administrative & Clerical
Environmental Services Manager,0.20,177,1213,0.145919209,Leadership & Strategy
Facility Maintenance Manager,0.20,151,1079,0.139944393,Medical & Healthcare
Floor Technician,0.20,54,517,0.104448743,Supply Chain & Logistics
Groundskeeper,0.20,40,281,0.142348754,Law Enforcement
Gutter,0.20,34,427,0.079625293,Construction
Health And Safety Manager,0.20,203,1303,0.155794321,Sales & Marketing
House Painter,0.20,138,1136,0.121478873,Hospitality
Irrigation Technician,0.20,137,922,0.148590022,Communication & PR
Janitorial Supervisor,0.20,136,966,0.140786749,Data & IT
Journeyman Plumber,0.20,114,774,0.147286822,Administrative & Clerical
Landscape Technician,0.20,139,844,0.164691943,Leadership & Strategy
Lighting Technician,0.20,209,1554,0.134491634,Medical & Healthcare
Maintenance Coordinator,0.20,158,1227,0.128769356,Supply Chain & Logistics
Maintenance Electrician,0.20,141,1144,0.123251748,Law Enforcement
Maintenance Mechanic,0.20,143,1185,0.120675105,Construction
Maintenance Supervisor,0.20,147,1216,0.120888158,Sales & Marketing
Marine Technician,0.20,166,1325,0.125283019,Hospitality
Mechanical Assembler,0.20,128,1127,0.113575865,Communication & PR
Mechanical Technician,0.20,157,1216,0.129111842,Data & IT
Office Technician,0.20,201,1413,0.142250531,Administrative & Clerical
Operations Technician,0.20,210,1433,0.146545708,Leadership & Strategy
Optical Technician,0.20,194,1415,0.137102473,Medical & Healthcare
Parts Manager,0.20,167,999,0.167167167,Supply Chain & Logistics
Pc Technician,0.20,203,1429,0.142057383,Law Enforcement
Pipeline Operator,0.20,127,1379,0.092095722,Construction
Plant Technician,0.20,133,1095,0.121461187,Sales & Marketing
Pool Manager,0.20,129,1087,0.118675253,Hospitality
Pool Technician,0.20,110,898,0.122494432,Communication & PR
Property Caretaker,0.20,126,1041,0.121037464,Data & IT
Pumper,0.20,104,1136,0.091549296,Administrative & Clerical
Refrigeration Mechanic,0.20,111,1207,0.091963546,Leadership & Strategy
Repair Technician,0.20,125,1244,0.100482315,Medical & Healthcare
Residential Electrician,0.20,77,927,0.083063646,Supply Chain & Logistics
Roughneck,0.20,57,742,0.076819407,Law Enforcement
Sheet Metal Mechanic,0.20,79,933,0.084673098,Construction
Ship Fitter,0.20,69,876,0.078767123,Sales & Marketing
Slot Technician,0.20,70,900,0.077777778,Hospitality
Stage Technician,0.20,103,1064,0.096804511,Communication & PR
Structural Welder,0.20,67,879,0.076222981,Data & IT
Substation Electrician,0.20,69,819,0.084249084,Administrative & Clerical
Tig Welder,0.20,126,1171,0.107600342,Leadership & Strategy
Tower Technician,0.20,132,1140,0.115789474,Medical & Healthcare
Tradesman,0.20,139,1158,0.120034542,Supply Chain & Logistics
Wastewater Operator,0.20,159,1251,0.127098321,Law Enforcement
Water Operator,0.20,155,1223,0.126737531,Construction
Welder Fabricator,0.20,129,1159,0.111302847,Sales & Marketing
Window Cleaner,0.20,109,1064,0.102443609,Hospitality
Camera Operator,0.20,6,48,0.125,Communication & PR
Cmm Operator,0.20,5,40,0.125,Data & IT
Die Maker,0.20,4,26,0.153846154,Administrative & Clerical
Instrument Fitter,0.20,112,716,0.156424581,Leadership & Strategy
Machinist,0.20,116,776,0.149484536,Medical & Healthcare
Material Controller,0.20,151,1212,0.124587459,Supply Chain & Logistics
Packaging Technician,0.20,151,1227,0.123064385,Law Enforcement
Parts Driver,0.20,99,635,0.155905512,Construction
Plant Controller,0.20,185,1697,0.10901591,Sales & Marketing
Procurement Coordinator,0.20,236,1941,0.121586811,Hospitality
Product Designer,0.20,265,2171,0.122063565,Communication & PR
Production Designer,0.20,239,2062,0.115906887,Data & IT
Production Planner,0.20,197,1680,0.117261905,Administrative & Clerical
Refinery,0.20,110,817,0.134638923,Leadership & Strategy
Refinery Operator,0.20,118,957,0.123301985,Medical & Healthcare
Stockroom Clerk,0.20,183,1350,0.135555556,Supply Chain & Logistics
Retirement Specialist,0.20,212,1613,0.131432114,Law Enforcement
Development Associate,0.20,9,57,0.157894737,Construction
Leasing Manager,0.20,222,1703,0.130358191,Sales & Marketing
New Home Sales Consultant,0.20,135,799,0.168961202,Hospitality
Property Administrator,0.20,235,2169,0.108344859,Communication & PR
Property Management,0.20,257,2256,0.11391844,Data & IT
Real Estate Consultant,0.20,262,2321,0.112882378,Administrative & Clerical
Real Estate Salesperson,0.20,251,2187,0.11476909,Leadership & Strategy
Realtor,0.20,250,2186,0.114364135,Medical & Healthcare
Residential Director,0.20,212,1617,0.131106988,Supply Chain & Logistics
Salon Receptionist,0.20,187,1029,0.181729835,Law Enforcement
Clinical Consultant,0.20,8,54,0.148148148,Construction
Clinical Research Associate,0.20,8,54,0.148148148,Sales & Marketing
Conservationist,0.20,6,46,0.130434783,Hospitality
Ecologist,0.20,145,1121,0.129348796,Communication & PR
Ehs Manager,0.20,212,1361,0.155767818,Data & IT
Ehs Specialist,0.20,205,1341,0.152870992,Administrative & Clerical
Environmental Coordinator,0.20,213,1388,0.153458213,Leadership & Strategy
Environmental Manager,0.20,205,1373,0.149308084,Medical & Healthcare
Fisheries Biologist,0.20,140,1110,0.126126126,Supply Chain & Logistics
Fisheries Technician,0.20,136,1095,0.124200913,Law Enforcement
Geneticist,0.20,144,1161,0.124031008,Construction
Geophysicist,0.20,150,1174,0.127768313,Sales & Marketing
Horticulturist,0.20,168,1207,0.13918807,Hospitality
Hydrogeologist,0.20,146,1120,0.130357143,Communication & PR
Hydrologist,0.20,149,1126,0.132326821,Data & IT
Laboratory Director,0.20,209,1442,0.144937587,Administrative & Clerical
Laboratory Supervisor,0.20,212,1450,0.146206897,Leadership & Strategy
Library Assistant,0.20,199,1457,0.136582018,Medical & Healthcare
Library Associate,0.20,202,1461,0.138261465,Supply Chain & Logistics
Materials Scientist,0.20,102,717,0.142259414,Law Enforcement
Microbiologist,0.20,119,767,0.155149935,Construction
Microbiology Technologist,0.20,133,853,0.155920281,Sales & Marketing
Molecular Biologist,0.20,115,761,0.151116951,Hospitality
Molecular Technologist,0.20,120,775,0.15483871,Communication & PR
Organic Chemist,0.20,100,713,0.140252454,Data & IT
Production Chemist,0.20,130,1306,0.099540582,Administrative & Clerical
Research Chemist,0.20,211,1879,0.112293773,Leadership & Strategy
Research Consultant,0.20,298,2227,0.133812304,Medical & Healthcare
Resource Specialist,0.20,285,1972,0.144523327,Supply Chain & Logistics
Senior Scientist,0.20,200,1750,0.114285714,Law Enforcement
Soil Scientist,0.20,168,1510,0.111258278,Construction
Toxicologist,0.20,121,1087,0.111315547,Sales & Marketing
Client Relationship Manager,0.20,9,57,0.157894737,Hospitality
Financial Planner,0.20,223,1460,0.152739726,Communication & PR
Inventory Accountant,0.20,227,1633,0.139007961,Data & IT
Inventory Auditor,0.20,231,1672,0.138157895,Administrative & Clerical
Investment Advisor,0.20,257,1852,0.138768898,Leadership & Strategy
Investment Specialist,0.20,255,1845,0.138211382,Medical & Healthcare
Loan Administrator,0.20,246,1744,0.141055046,Supply Chain & Logistics
Loan Coordinator,0.20,248,1746,0.142038946,Law Enforcement
Loan Servicing Specialist,0.20,244,1647,0.148148148,Construction
Mortgage Assistant,0.20,189,1159,0.163071613,Sales & Marketing
Mortgage Banker,0.20,178,1149,0.154917319,Hospitality
Mortgage Originator,0.20,183,1144,0.159965035,Communication & PR
Payroll Accountant,0.20,223,1255,0.177689243,Data & IT
Payroll Analyst,0.20,223,1255,0.177689243,Administrative & Clerical
Payroll Coordinator,0.20,223,1253,0.177972865,Leadership & Strategy
Payroll Specialist,0.20,224,1256,0.178343949,Medical & Healthcare
Portfolio Manager,0.20,218,1570,0.138853503,Supply Chain & Logistics
Production Accountant,0.20,182,1375,0.132363636,Law Enforcement
Property Accountant,0.20,177,1370,0.12919708,Construction
Real Estate Accountant,0.20,175,1369,0.127830533,Sales & Marketing
Reconciliation Specialist,0.20,200,1425,0.140350877,Hospitality
Revenue Accountant,0.20,254,1894,0.134107709,Communication & PR
Revenue Analyst,0.20,254,1732,0.14665127,Data & IT
Senior Financial Analyst,0.20,261,1986,0.13141994,Administrative & Clerical
Staff Accountant,0.20,248,1893,0.13100898,Leadership & Strategy
Universal Banker,0.20,189,1446,0.130705394,Medical & Healthcare
Chief Medical Officer,0.20,5,20,0.25,Supply Chain & Logistics
Clinical Social Worker,0.20,7,23,0.304347826,Law Enforcement
Metallurgist,0.20,76,658,0.11550152,Construction
Mining Engineer,0.20,73,965,0.075647668,Sales & Marketing
Naval Architect,0.20,87,982,0.088594705,Hospitality
Pipeline Engineer,0.20,134,1313,0.102056359,Communication & PR
Piping Designer,0.20,133,1297,0.102544333,Data & IT
Piping Engineer,0.20,132,1293,0.102088167,Administrative & Clerical
Power Engineer,0.20,131,1328,0.098644578,Leadership & Strategy
Process Safety Engineer,0.20,141,1398,0.100858369,Medical & Healthcare
Recording Engineer,0.20,214,1603,0.133499688,Supply Chain & Logistics
Reservoir Engineer,0.20,141,1408,0.100142045,Law Enforcement
Safety Engineer,0.20,124,850,0.145882353,Construction
Traffic Engineer,0.20,156,1207,0.129246065,Sales & Marketing
Transmission Engineer,0.20,143,1191,0.12006717,Hospitality
Utility Engineer,0.20,135,1143,0.118110236,Communication & PR
Water Engineer,0.20,143,1165,0.122746781,Data & IT
Welding Engineer,0.20,139,1195,0.116317992,Administrative & Clerical
Department Manager,0.20,6,46,0.130434783,Leadership & Strategy
Facilities Manager,0.20,206,1345,0.153159851,Medical & Healthcare
Facility Technician,0.20,118,848,0.139150943,Supply Chain & Logistics
Knowledge Management Specialist,0.20,274,1806,0.151716501,Law Enforcement
Meeting Planner,0.20,163,1506,0.108233732,Construction
Office Assistant,0.20,215,1280,0.16796875,Sales & Marketing
Planner,0.20,211,1889,0.111699312,Hospitality
Program Assistant,0.20,221,1894,0.116684266,Communication & PR
Scheduling Manager,0.20,255,1841,0.138511678,Data & IT
Unit Assistant,0.20,179,1451,0.123363198,Administrative & Clerical
Car Porter,0.20,4,14,0.285714286,Leadership & Strategy
Charter Pilot,0.20,2,0,inf,Medical & Healthcare
Commercial Pilot,0.20,2,0,inf,Supply Chain & Logistics
Conductor,0.20,2,0,inf,Law Enforcement
Corporate Pilot,0.20,2,0,inf,Construction
Driver Helper,0.20,48,465,0.103225806,Sales & Marketing
Locomotive Engineer,0.20,22,118,0.186440678,Hospitality
Messenger,0.20,67,436,0.153669725,Communication & PR
Test Driver,0.20,117,1055,0.110900474,Data & IT
Test Pilot,0.20,119,1072,0.111007463,Administrative & Clerical
Train Conductor,0.20,121,1104,0.109601449,Leadership & Strategy
Train Engineer,0.20,127,1109,0.114517583,Medical & Healthcare
Transportation Engineer,0.20,182,1382,0.131693198,Supply Chain & Logistics
Cocktail Server,0.20,4,14,0.285714286,Law Enforcement
Coffee Roaster,0.20,4,14,0.285714286,Construction
Executive Steward,0.20,66,683,0.096632504,Sales & Marketing
Food Service Specialist,0.20,166,1198,0.138564274,Hospitality
Grill Cook,0.20,38,303,0.125412541,Communication & PR
Guide,0.20,72,479,0.150313152,Data & IT
Head Chef,0.20,43,349,0.123209169,Administrative & Clerical
House Manager,0.20,116,989,0.117290192,Leadership & Strategy
Houseman,0.20,31,187,0.165775401,Medical & Healthcare
Kitchen Hand,0.20,26,156,0.166666667,Supply Chain & Logistics
Kitchen Helper,0.20,26,156,0.166666667,Law Enforcement
Kitchen Worker,0.20,29,166,0.174698795,Construction
After School Teacher,0.20,1,1,1,Sales & Marketing
Chemistry Teacher,0.20,8,31,0.258064516,Hospitality
Chinese Teacher,0.20,8,31,0.258064516,Communication & PR
Classroom Teacher,0.20,8,31,0.258064516,Data & IT
College Advisor,0.20,10,60,0.166666667,Administrative & Clerical
College Counselor,0.20,10,60,0.166666667,Leadership & Strategy
Cosmetology Instructor,0.20,7,23,0.304347826,Medical & Healthcare
Cosmetology Teacher,0.20,7,23,0.304347826,Supply Chain & Logistics
Director Of Admissions,0.20,10,60,0.166666667,Law Enforcement
Director Of Training,0.20,9,57,0.157894737,Construction
Drama Teacher,0.20,8,31,0.258064516,Sales & Marketing
Education Teacher,0.20,153,1101,0.138964578,Hospitality
Educator,0.20,166,1160,0.143103448,Communication & PR
Elementary Music Teacher,0.20,163,1163,0.140154772,Data & IT
Elementary School Teacher,0.20,159,1102,0.144283122,Administrative & Clerical
English Instructor,0.20,154,1083,0.142197599,Leadership & Strategy
English Teacher,0.20,154,1083,0.142197599,Medical & Healthcare
Esl Instructor,0.20,154,1082,0.14232902,Supply Chain & Logistics
Esl Teacher,0.20,154,1082,0.14232902,Law Enforcement
Family Consumer Science Teacher,0.20,147,1028,0.142996109,Construction
French Teacher,0.20,152,1049,0.144899905,Sales & Marketing
Ged Instructor,0.20,152,1049,0.144899905,Hospitality
German Teacher,0.20,152,1049,0.144899905,Communication & PR
Health Teacher,0.20,166,1262,0.131537242,Data & IT
Hebrew Teacher,0.20,169,1264,0.133702532,Administrative & Clerical
Instructional Coach,0.20,240,1620,0.148148148,Leadership & Strategy
Language Specialist,0.20,212,1502,0.14114514,Medical & Healthcare
Learning Specialist,0.20,241,1616,0.149133663,Supply Chain & Logistics
Literacy Specialist,0.20,227,1520,0.149342105,Law Enforcement
Museum Educator,0.20,146,881,0.165720772,Construction
Parent Educator,0.20,131,814,0.160933661,Sales & Marketing
Proctor,0.20,134,1072,0.125,Hospitality
Provost,0.20,149,1200,0.124166667,Communication & PR
Public Health Educator,0.20,180,1555,0.115755627,Data & IT
Reading Specialist,0.20,175,1596,0.109649123,Administrative & Clerical
Recreation Supervisor,0.20,170,1293,0.131477185,Leadership & Strategy
School Aide,0.20,147,793,0.185372005,Medical & Healthcare
School Principal,0.20,214,1200,0.178333333,Supply Chain & Logistics
Student Advisor,0.20,251,1448,0.173342541,Law Enforcement
Student Counselor,0.20,252,1487,0.169468729,Construction
Study Abroad Advisor,0.20,238,1690,0.140828402,Sales & Marketing
University Counselor,0.20,208,1545,0.134627832,Hospitality
Film,0.20,241,1577,0.152821814,Communication & PR
Floral Designer,0.20,221,1748,0.126430206,Data & IT
Florist,0.20,213,1704,0.125,Administrative & Clerical
Freelance Artist,0.20,245,1780,0.137640449,Leadership & Strategy
Freelance Makeup Artist,0.20,207,1293,0.160092807,Medical & Healthcare
Freelance Photographer,0.20,299,2044,0.1462818,Supply Chain & Logistics
Interior Design,0.20,245,1962,0.124872579,Law Enforcement
Interior Design Consultant,0.20,255,1966,0.129704985,Construction
Interior Designer,0.20,258,1983,0.1301059,Sales & Marketing
Lighting Designer,0.20,257,1951,0.131727319,Hospitality
Party Planner,0.20,163,1393,0.11701364,Communication & PR
Photographer,0.20,254,2049,0.123962909,Data & IT
Photography,0.20,243,1981,0.122665321,Administrative & Clerical
Print Designer,0.20,212,1719,0.123327516,Leadership & Strategy
Product Photographer,0.20,239,1946,0.122816033,Medical & Healthcare
Program Director,0.20,260,1911,0.136054422,Supply Chain & Logistics
Senior Art Director,0.20,243,1815,0.133884298,Law Enforcement
Senior Interior Designer,0.20,226,1784,0.126681614,Construction
Sports Photographer,0.20,187,1412,0.132436261,Sales & Marketing
Studio Photographer,0.20,202,1540,0.131168831,Hospitality
Video Production Assistant,0.20,236,1651,0.142943671,Communication & PR
Videographer,0.20,240,1957,0.122636689,Data & IT
Visual Manager,0.20,206,1421,0.144968332,Administrative & Clerical
Certified Diabetes Educator,0.20,9,57,0.157894737,Leadership & Strategy
Certified Dietary Manager,0.20,7,46,0.152173913,Medical & Healthcare
Certified Medication Aide,0.20,7,46,0.152173913,Supply Chain & Logistics
Child Psychiatrist,0.20,5,20,0.25,Law Enforcement
Clinical Medical Assistant,0.20,7,46,0.152173913,Construction
Clinical Specialist,0.20,8,49,0.163265306,Sales & Marketing
Diabetes Educator,0.20,9,57,0.157894737,Hospitality
EMT,0.20,142,888,0.15990991,Communication & PR
Emergency Department Technician,0.20,139,774,0.179586563,Data & IT
Emergency Medical Technician,0.20,142,862,0.164733179,Administrative & Clerical
Emergency Room Technician,0.20,140,863,0.162224797,Leadership & Strategy
Er Technician,0.20,138,866,0.159353349,Medical & Healthcare
Firefighter Paramedic,0.20,128,824,0.155339806,Supply Chain & Logistics
Flight Paramedic,0.20,137,1052,0.130228137,Law Enforcement
Home Health Aide,0.20,60,435,0.137931034,Construction
Hospitality Aide,0.20,77,560,0.1375,Sales & Marketing
Medical Examiner,0.20,118,821,0.143727162,Hospitality
Medical Liaison,0.20,197,1151,0.171155517,Communication & PR
Medical Office Manager,0.20,220,1345,0.163568773,Data & IT
Medical Sonographer,0.20,149,1260,0.118253968,Administrative & Clerical
Lead Developer,0.20,276,1699,0.162448499,Leadership & Strategy
Mobile Application Developer,0.20,142,931,0.152524168,Medical & Healthcare
Mobile Developer,0.20,141,925,0.152432432,Supply Chain & Logistics
Principal Software Engineer,0.20,162,1427,0.113524877,Law Enforcement
Senior Web Developer,0.20,273,1673,0.163179916,Construction
Software Architect,0.20,258,1530,0.168627451,Sales & Marketing
Software Development Engineer,0.20,263,1617,0.162646877,Hospitality
Software Manager,0.20,275,1986,0.138469285,Communication & PR
Technical Architect,0.20,245,1255,0.195219124,Data & IT
Web Application Developer,0.20,191,1435,0.133101045,Administrative & Clerical
Web Developer,0.20,193,1406,0.137268848,Leadership & Strategy
Erp Manager,0.20,200,1390,0.143884892,Medical & Healthcare
Market Research Manager,0.20,444,2978,0.149093351,Supply Chain & Logistics
Research Specialist,0.20,333,2357,0.14128129,Law Enforcement
Sustainability Manager,0.20,222,1648,0.134708738,Construction
Mainframe Developer,0.20,295,1760,0.167613636,Sales & Marketing
Senior Instructional Designer,0.20,343,2385,0.143815514,Hospitality
Career Consultant,0.20,9,57,0.157894737,Communication & PR
Director Of Human Resources,0.20,8,49,0.163265306,Data & IT
Hr Coordinator,0.20,301,1972,0.152636917,Administrative & Clerical
Hr Manager,0.20,299,1960,0.15255102,Leadership & Strategy
Hris Manager,0.20,275,1896,0.145042194,Medical & Healthcare
Human Resources Analyst,0.20,291,1943,0.149768399,Supply Chain & Logistics
Human Resources Coordinator,0.20,308,2003,0.153769346,Law Enforcement
Junior Recruiter,0.20,252,1759,0.143263218,Construction
Payroll Assistant,0.20,222,1273,0.174391202,Sales & Marketing
Safety Advisor,0.20,258,1486,0.173620458,Hospitality
Staff Assistant,0.20,303,2266,0.133715799,Communication & PR
Client Relations Manager,0.20,9,57,0.157894737,Data & IT
Corporate Counsel,0.20,5,20,0.25,Administrative & Clerical
Corporate Lawyer,0.20,5,20,0.25,Leadership & Strategy
Court Interpreter,0.20,4,14,0.285714286,Medical & Healthcare
Environmental Attorney,0.20,165,1186,0.139123103,Supply Chain & Logistics
Estate Planning Attorney,0.20,170,1227,0.138549307,Law Enforcement
Hearing Officer,0.20,195,1380,0.141304348,Construction
Law Office Assistant,0.20,210,1491,0.14084507,Sales & Marketing
Legal Counsel,0.20,245,1691,0.144884684,Hospitality
Prosecutor,0.20,139,1043,0.133269415,Communication & PR
Public Defender,0.20,139,1046,0.132887189,Data & IT
Real Estate Attorney,0.20,145,1044,0.138888889,Administrative & Clerical
Tax Attorney,0.20,107,656,0.163109756,Leadership & Strategy
Dog Groomer,0.20,4,0,inf,Medical & Healthcare
Dog Trainer,0.20,5,6,0.833333333,Supply Chain & Logistics
Groomer,0.20,58,357,0.162464986,Law Enforcement
Pet Groomer,0.20,65,417,0.1558753,Construction
Pet Stylist,0.20,65,417,0.1558753,Sales & Marketing
Veterinary Receptionist,0.20,168,1401,0.119914347,Hospitality
Community Service Officer,0.20,6,20,0.3,Communication & PR
Development Director,0.20,10,60,0.166666667,Data & IT
Hospice Social Worker,0.20,171,1236,0.138349515,Administrative & Clerical
Outdoor Guide,0.20,62,447,0.138702461,Leadership & Strategy
Ski Patrol,0.20,46,287,0.160278746,Medical & Healthcare
Health Care Assistant,0.20,217,1291,0.168086754,Supply Chain & Logistics
Health Coordinator,0.20,241,1457,0.165408373,Law Enforcement
Hospital Social Worker,0.20,170,1160,0.146551724,Construction
Medical Assistant Instructor,0.20,174,1029,0.16909621,Sales & Marketing
Medical Lab Assistant,0.20,185,1476,0.125338753,Hospitality
Medical Staff Coordinator,0.20,221,1374,0.16084425,Communication & PR
Medical Support Assistant,0.20,217,1363,0.15920763,Data & IT
Nurse Case Manager,0.20,218,1353,0.161123429,Administrative & Clerical
Nurse Consultant,0.20,206,1252,0.164536741,Leadership & Strategy
Optical Assistant,0.20,160,953,0.167890871,Medical & Healthcare
Optometric Technician,0.20,169,985,0.171573604,Supply Chain & Logistics
Patient Advocate,0.20,206,1173,0.175618073,Law Enforcement
Patient Care Coordinator,0.20,229,1400,0.163571429,Construction
Patient Services Coordinator,0.20,233,1395,0.16702509,Sales & Marketing
Rn Case Manager,0.20,146,791,0.184576485,Hospitality
Case Worker,0.20,8,49,0.163265306,Communication & PR
Constable,0.20,3,0,inf,Data & IT
Director Of Social Services,0.20,9,57,0.157894737,Administrative & Clerical
Group Home Manager,0.20,195,1221,0.15970516,Leadership & Strategy
Medical Social Worker,0.20,177,1094,0.16179159,Medical & Healthcare
Outreach Specialist,0.20,210,1282,0.163806552,Supply Chain & Logistics
Plans Examiner,0.20,134,1053,0.127255461,Law Enforcement
Public Works Director,0.20,152,1215,0.125102881,Construction
School Social Worker,0.20,211,1511,0.139642621,Sales & Marketing
Sheriff,0.20,65,361,0.180055402,Hospitality
Social Services Assistant,0.20,195,1500,0.13,Communication & PR
Social Worker Assistant,0.20,184,1062,0.173258004,Data & IT
Logistics Engineer,0.20,255,1787,0.142697258,Administrative & Clerical
Logistics Manager,0.20,300,1983,0.15128593,Leadership & Strategy
Procurement Director,0.20,229,1627,0.140749846,Medical & Healthcare
Purchasing Director,0.20,226,1559,0.144964721,Supply Chain & Logistics
Supply Chain Analyst,0.20,293,2097,0.139723414,Law Enforcement
Supply Chain Director,0.20,253,1766,0.143261608,Construction
Warehouse Manager,0.20,205,1472,0.139266304,Sales & Marketing
Diet Clerk,0.20,6,46,0.130434783,Hospitality
Exercise Specialist,0.20,193,1287,0.14996115,Communication & PR
Fitness Coach,0.20,193,1283,0.150428683,Data & IT
Fitness Coordinator,0.20,202,1330,0.151879699,Administrative & Clerical
Fitness Specialist,0.20,192,1286,0.149300156,Leadership & Strategy
Fitness Trainer,0.20,191,1280,0.14921875,Medical & Healthcare
Nutrition Director,0.20,149,964,0.154564315,Supply Chain & Logistics
Personal Trainer,0.20,92,681,0.135095448,Law Enforcement
Sports Nutritionist,0.20,105,692,0.151734104,Construction
Swim Instructor,0.20,61,354,0.172316384,Sales & Marketing
Wellness Coach,0.20,182,1340,0.135820896,Hospitality
Wellness Director,0.20,181,1341,0.1349739,Communication & PR
Communicator,0.20,8,49,0.163265306,Data & IT
Copy Editor,0.20,5,40,0.125,Administrative & Clerical
Customer Advocate,0.20,9,57,0.157894737,Leadership & Strategy
Editor,0.20,265,1649,0.160703457,Medical & Healthcare
Editor In Chief,0.20,224,1457,0.153740563,Supply Chain & Logistics
Editorial Assistant,0.20,257,1599,0.160725453,Law Enforcement
Fact Checker,0.20,240,1555,0.154340836,Construction
Freelance Producer,0.20,292,1763,0.165626773,Sales & Marketing
Journalism,0.20,277,1809,0.153123273,Hospitality
Journalist,0.20,280,1803,0.155296728,Communication & PR
Media Analyst,0.20,206,1640,0.125609756,Data & IT
Media Specialist,0.20,225,1747,0.128792215,Administrative & Clerical
News Director,0.20,178,1069,0.166510758,Leadership & Strategy
News Editor,0.20,201,1364,0.147360704,Medical & Healthcare
News Producer,0.20,219,1783,0.122826697,Supply Chain & Logistics
Production Editor,0.20,292,2236,0.13059034,Law Enforcement
Publicist,0.20,260,2054,0.126582278,Construction
